Summary,Issue Type,Method,Path,Used In,Request Body,Response Body,Notes,Doc Section
"DB/API: ampliar tabla curso y entidad Curso","Task","DB/API","curso | es.iesdeteis.gestorcitas.model.Curso","frontend/src/services/courseService.js","-","-","Anadir `nivel`, `icono`, `descripcion_especialidad` y `descripcion_taller`. `numero_estudiantes` se calcula desde `alumno` y no se persiste en `curso`.","API_PART_1.md Tareas de Base de Datos y Backend Asociadas"
"DB/API: ampliar tabla taller y entidad Taller","Task","DB/API","taller | es.iesdeteis.gestorcitas.model.Taller","frontend/src/services/workshopService.js","-","-","Anadir `descripcion` e `icono`. Mantener en contrato admin `duracion_minutos`, `tipo_taller` y `capacidad_maxima` porque ya existen en la DB.","API_PART_2.md Tareas de Base de Datos y Backend Asociadas"
"DB/API: alinear horarios con la API de reservas","Task","DB/API","horario_taller | es.iesdeteis.gestorcitas.model.HorarioTaller","frontend/src/services/availabilityService.js","-","-","Los huecos se generan desde `dia_semana`, `hora_apertura`, `hora_cierre` y `duracion_minutos`. La creacion de citas debe enviar `id_horario`, `fecha` y `hora`.","API_PART_2.md Tareas de Base de Datos y Backend Asociadas"
"DB/API: ampliar tabla citas y corregir modelo Cita","Task","DB/API","citas | es.iesdeteis.gestorcitas.model.Cita | es.iesdeteis.gestorcitas.enums.EstadoCita","frontend/src/services/appointmentService.js","-","-","Anadir `fecha_creacion`, permitir `cancelada`, apuntar la entidad a la tabla `citas` y soportar `PENDIENTE`, `CONFIRMADA`, `COMPLETADA`, `CANCELADA`.","API_PART_3.md Tareas de Base de Datos y Backend Asociadas"
"API: POST /admin/auth/login","Task","POST","/admin/auth/login","src/pages/AdminLogin/AdminLogin.jsx","{""email"":""profesor@teis.es"",""password"":""secret""}","{""token"":""jwt-token"",""usuario"":{""id_admin"":1,""nombre"":""Profesor Coordinador"",""email"":""profesor@teis.es"",""rol"":""admin""}}","Respuesta en espanol: `usuario`, `id_admin`, `nombre`, `rol`.","API_PART_3.md 3.1"
"API: GET /cursos/publico","Task","GET","/cursos/publico","src/pages/Home/Home.jsx","-","[{""id_curso"":1,""titulo"":""Peluqueria"",""descripcion_especialidad"":""Corte, colorimetria y tratamientos capilares."",""icono"":""scissors""}]","Lista publica de especialidades con claves en espanol.","API_PART_1.md 2.1"
"API: GET /cursos/:id_curso","Task","GET","/cursos/:id_curso","src/pages/Talleres/Talleres.jsx | src/pages/AdminDashboard/AdminDashboard.jsx","-","{""id_curso"":1,""nombre"":""Peluqueria"",""nivel"":""Grado Medio"",""curso_academico"":""2025/2026"",""numero_estudiantes"":15,""icono"":""scissors"",""descripcion_especialidad"":""Corte, colorimetria y tratamientos capilares."",""descripcion_taller"":""Selecciona un taller de ejemplo para ver como podriamos organizar los servicios disponibles.""}","Detalle de curso con claves sincronizadas con la DB.","API_PART_2.md 2.2"
"API: GET /cursos/:id_curso/talleres","Task","GET","/cursos/:id_curso/talleres","src/pages/Talleres/Talleres.jsx | src/pages/AdminDashboard/AdminDashboard.jsx","-","[{""id_taller"":1,""id_curso"":1,""titulo"":""Corte y peinado"",""descripcion"":""Cortes clasicos, brushing y acabados para el dia a dia."",""icono"":""scissors""}]","Talleres por curso usando IDs numericos reales.","API_PART_2.md 2.3"
"API: GET /talleres","Task","GET","/talleres","src/pages/Booking/Booking.jsx","-","[{""id_taller"":1,""id_curso"":1,""titulo"":""Corte y peinado"",""descripcion"":""Cortes clasicos, brushing y acabados para el dia a dia."",""icono"":""scissors""}]","Listado general de talleres para la reserva.","API_PART_2.md 2.4"
"API: GET /talleres/:id_taller/horarios","Task","GET","/talleres/:id_taller/horarios","src/pages/Booking/Booking.jsx | src/components/CreateAppointmentModal/CreateAppointmentModal.jsx","-","[{""id_horario"":7,""id_taller"":1,""fecha"":""2026-04-22"",""hora"":""10:00"",""etiqueta"":""Miercoles 22 de abril - 10:00"",""disponible"":true}]","Huecos concretos calculados desde `horario_taller`.","API_PART_2.md 2.5"
"API: POST /citas","Task","POST","/citas","src/pages/Booking/Booking.jsx","{""nombre"":""Ana Garcia"",""email"":""ana@email.com"",""id_taller"":1,""id_horario"":7,""fecha"":""2026-04-22"",""hora"":""10:00"",""notas_alergias"":""Piel sensible""}","{""id_cita"":101,""cliente"":""Ana Garcia"",""email"":""ana@email.com"",""id_taller"":1,""id_horario"":7,""fecha"":""2026-04-22"",""hora"":""10:00"",""estado"":""pendiente"",""notas_alergias"":""Piel sensible"",""fecha_creacion"":""2026-04-22T10:20:00Z""}","Alta publica de cita. El backend debe crear o actualizar `cliente` por email.","API_PART_3.md 2.6"
"API: GET /admin/cursos","Task","GET","/admin/cursos","src/pages/AdminCourses/AdminCourses.jsx","-","[{""id_curso"":1,""nombre"":""Peluqueria"",""nivel"":""Grado Medio"",""curso_academico"":""2025/2026"",""numero_estudiantes"":15}]","Listado admin de cursos. `numero_estudiantes` es calculado.","API_PART_1.md 3.2"
"API: POST /admin/cursos","Task","POST","/admin/cursos","src/components/CreateCourseModal/CreateCourseModal.jsx","{""nombre"":""Peluqueria avanzada"",""nivel"":""Grado Medio"",""curso_academico"":""2025/2026"",""icono"":""scissors"",""descripcion_especialidad"":""Corte, colorimetria y tratamientos capilares."",""descripcion_taller"":""Selecciona un taller de ejemplo para ver como podriamos organizar los servicios disponibles.""}","{""id_curso"":1,""nombre"":""Peluqueria avanzada"",""nivel"":""Grado Medio"",""curso_academico"":""2025/2026"",""numero_estudiantes"":0,""icono"":""scissors"",""descripcion_especialidad"":""Corte, colorimetria y tratamientos capilares."",""descripcion_taller"":""Selecciona un taller de ejemplo para ver como podriamos organizar los servicios disponibles.""}","No enviar `numero_estudiantes` en el request porque no existe en la tabla `curso`.","API_PART_1.md 3.3"
